days.post.imm,total_B,rep_pos_B,rep_pos_MZB,genotype,total_spleen_counts,rep_pos_MZP,Total_FOB,Total_MZP,Total_MZB,Total_GC
7,54.7,5.13,1.89,CAR,106,2.94,?,?,?,?
7,53.8,6.42,1.59,CAR,107,2.43,?,?,?,?
7,51.9,5.03,1.96,CAR,104.5,2.5,?,?,?,?
7,53.8,5.85,1.52,CAR,114.5,1.93,?,?,?,?
7,50,4.96,1.98,CAR,109,2.7,?,?,?,?
7,48.3,4.76,2.83,CAR,95,3.09,?,?,?,?
7,49.4,6.99,1.57,CAR,109,1.92,?,?,?,?
7,51.5,4.03,2.48,CAR,78.04,3.11,?,?,?,?
7,51.8,6.34,2.22,CAR,54.27,3.03,?,?,?,?
7,51,5.61,1.44,CAR,70,1.82,?,?,?,?
7,47.6,7.07,1.48,CAR,120.5,1.2,?,?,?,?
7,44.7,4.08,1.64,CAR,73.24,2.61,?,?,?,?
7,55.6,3.6,1.59,CAR,57.55,2.02,?,?,?,?
7,52.9,2.64,0.82,CAR,59.05,1.1,?,?,?,?
14,47.4,6.19,2.84,CAR,67,1.49,?,?,?,?
14,55.9,4.51,2.34,CAR,88,1.59,?,?,?,?
14,50.5,6.39,3.01,CAR,89,1.68,?,?,?,?
14,49.8,6.04,2.23,CAR,89,1.17,?,?,?,?
14,53.6,6.63,3.01,CAR,89,1.6,?,?,?,?
14,52,6.07,3.16,CAR,99,1.9,?,?,?,?
14,48,5.78,2.74,CAR,82,1.82,?,?,?,?
14,47.8,5.63,4.05,CAR,70.56,2.1,?,?,?,?
14,51.6,4.47,2.71,CAR,87.55,1.33,?,?,?,?
14,47.5,4.62,3.16,CAR,141.24,2.31,?,?,?,?
14,46.3,5.07,2.25,CAR,124.89,1.49,?,?,?,?
14,40.5,7.59,2.66,CAR,104.05,1.33,?,?,?,?
14,41.2,5,3.05,CAR,90.2,1.86,?,?,?,?
14,53.6,5.57,3.2,CAR,73.77,1.67,?,?,?,?
30,52,1.3,9.84,CAR,66,4.24,?,?,?,?
30,48.4,1.1,9.33,CAR,55.83,2.17,?,?,?,?
30,46.8,1.56,7.74,CAR,93,4.43,?,?,?,?
30,43.5,1.6,6.79,CAR,119,2.95,?,?,?,?
30,45.5,1.62,6.65,CAR,97,3.24,?,?,?,?
30,46.3,1.51,9.95,CAR,90,3.4,?,?,?,?
30,49.3,1.2,7.96,CAR,69.8,2.78,?,?,?,?
7,38.7,7.41,21.6,N2Hom,66.5,,,,,
7,41,6.61,23.6,N2Hom,80.5,,,,,
7,38.6,5.59,21.5,N2Hom,72,,,,,
7,34.2,5.3,28.1,N2Hom,65,,,,,
7,40.2,4.58,29.8,N2Hom,61.4,,,,,
7,33.1,4.12,25.8,N2Hom,93.5,,,,,
7,33,3.55,28.1,N2Hom,67,,,,,
7,44.3,3.39,19.5,N2Hom,78.93,,,,,
7,48.5,3.47,23.4,N2Hom,102.32,,,,,
7,40.3,4.37,29.2,N2Hom,63.2,,,,,
7,42.6,4.09,30.4,N2Hom,101.88,,,,,
7,39.1,3.58,25.1,N2Hom,129.2,,,,,
14,41.8,6.11,29,N2Hom,53,,,,,
14,39.9,6.18,28,N2Hom,71.5,,,,,
14,31.6,4.09,33,N2Hom,63,,,,,
14,44.3,5.24,31,N2Hom,116.15,,,,,
14,53.4,5.34,30.6,N2Hom,170.25,,,,,
14,43.6,5.99,24.4,N2Hom,92.74,,,,,
14,48.5,4.6,32.9,N2Hom,113.67,,,,,
14,43.4,5.7,32.4,N2Hom,52.84,,,,,
14,42,6.26,29.4,N2Hom,74.52,,,,,
30,48.1,4.2,37.1,N2Hom,44.11,,,,,
30,46.1,3.77,36.6,N2Hom,56.02,,,,,
30,43,3.87,37.2,N2Hom,39.76,,,,,
30,40.5,2.31,39.7,N2Hom,115.12,,,,,
30,39.7,1.35,37,N2Hom,107.8,,,,,
30,40.4,1.95,30.4,N2Hom,116.23,,,,,
30,36.9,1.69,41.1,N2Hom,91.7,,,,,